     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1024,        52,         0,   0.123,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
      1024,        90,         0,   0.161,fusion_blossom,1b4da038772700d217efb5a87043dbf130241193f22ff17cbca6bf2f958b0cf2,"{""d"":5,""p"":0.01,""rounds"":5}",
      5120,        28,         0,   0.053,pymatching,aa65a1c74547e8dbb0219373d6f96343f56b7fe3b027d6d14305afa44c890a6e,"{""d"":7,""p"":0.004,""rounds"":7}",
       256,         0,         0,   0.061,fusion_blossom,47e91f1dfbf6adbb3c46efd5d2de6f4c42a3dcf206f4703dce03013c9b309afd,"{""d"":7,""p"":0.004,""rounds"":7}",
      2048,        11,         0,   0.108,fusion_blossom,e48ed67c2979de4d26a9fc9536081ea554d0aab4d424661f34f12c13fd45c431,"{""d"":5,""p"":0.004,""rounds"":5}",
      1024,       134,         0,   0.200,fusion_blossom,277a58e233e862a3be262f22c5b7a5a21a07b7eaf82f6f585b51f45fc3e938b2,"{""d"":5,""p"":0.012,""rounds"":5}",
      9216,        43,         0,   0.084,pymatching,aa65a1c74547e8dbb0219373d6f96343f56b7fe3b027d6d14305afa44c890a6e,"{""d"":7,""p"":0.004,""rounds"":7}",
      1024,        51,         0,   0.130,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
      1024,       168,         0,   0.248,fusion_blossom,92c46607b3fb09a418264f46cff2e36b2e91a14de9e5717d2e61af13a8535335,"{""d"":5,""p"":0.014,""rounds"":5}",
      2048,        42,         0,   0.168,fusion_blossom,7d0121e0c425ed097122e511761d285c0bc4239c3a958797053f041ddfa0d843,"{""d"":5,""p"":0.006,""rounds"":5}",
      1024,       107,         0,   0.166,fusion_blossom,1b4da038772700d217efb5a87043dbf130241193f22ff17cbca6bf2f958b0cf2,"{""d"":5,""p"":0.01,""rounds"":5}",
      3072,        29,         0,   0.160,fusion_blossom,e48ed67c2979de4d26a9fc9536081ea554d0aab4d424661f34f12c13fd45c431,"{""d"":5,""p"":0.004,""rounds"":5}",
     12288,        42,         0,   0.108,pymatching,aa65a1c74547e8dbb0219373d6f96343f56b7fe3b027d6d14305afa44c890a6e,"{""d"":7,""p"":0.004,""rounds"":7}",
      1024,        34,         0,   0.118,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
      1024,       142,         0,   0.203,fusion_blossom,277a58e233e862a3be262f22c5b7a5a21a07b7eaf82f6f585b51f45fc3e938b2,"{""d"":5,""p"":0.012,""rounds"":5}",
      1024,         7,         0,   0.280,fusion_blossom,47e91f1dfbf6adbb3c46efd5d2de6f4c42a3dcf206f4703dce03013c9b309afd,"{""d"":7,""p"":0.004,""rounds"":7}",
      2048,        52,         0,   0.206,fusion_blossom,7d0121e0c425ed097122e511761d285c0bc4239c3a958797053f041ddfa0d843,"{""d"":5,""p"":0.006,""rounds"":5}",
     15360,        73,         0,   0.148,pymatching,aa65a1c74547e8dbb0219373d6f96343f56b7fe3b027d6d14305afa44c890a6e,"{""d"":7,""p"":0.004,""rounds"":7}",
      1024,        92,         0,   0.190,fusion_blossom,1b4da038772700d217efb5a87043dbf130241193f22ff17cbca6bf2f958b0cf2,"{""d"":5,""p"":0.01,""rounds"":5}",
      1024,        57,         0,   0.122,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
      1024,       176,         0,   0.259,fusion_blossom,92c46607b3fb09a418264f46cff2e36b2e91a14de9e5717d2e61af13a8535335,"{""d"":5,""p"":0.014,""rounds"":5}",
      4096,        27,         0,   0.217,fusion_blossom,e48ed67c2979de4d26a9fc9536081ea554d0aab4d424661f34f12c13fd45c431,"{""d"":5,""p"":0.004,""rounds"":5}",
      1024,       140,         0,   0.219,fusion_blossom,277a58e233e862a3be262f22c5b7a5a21a07b7eaf82f6f585b51f45fc3e938b2,"{""d"":5,""p"":0.012,""rounds"":5}",
      1024,        83,         0,   0.177,fusion_blossom,1b4da038772700d217efb5a87043dbf130241193f22ff17cbca6bf2f958b0cf2,"{""d"":5,""p"":0.01,""rounds"":5}",
     25600,       134,         0,   0.206,pymatching,aa65a1c74547e8dbb0219373d6f96343f56b7fe3b027d6d14305afa44c890a6e,"{""d"":7,""p"":0.004,""rounds"":7}",
      1024,         8,         0,   0.278,fusion_blossom,47e91f1dfbf6adbb3c46efd5d2de6f4c42a3dcf206f4703dce03013c9b309afd,"{""d"":7,""p"":0.004,""rounds"":7}",
      2048,        85,         0,   0.267,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
      3072,        79,         0,   0.290,fusion_blossom,7d0121e0c425ed097122e511761d285c0bc4239c3a958797053f041ddfa0d843,"{""d"":5,""p"":0.006,""rounds"":5}",
      1024,       192,         0,   0.262,fusion_blossom,92c46607b3fb09a418264f46cff2e36b2e91a14de9e5717d2e61af13a8535335,"{""d"":5,""p"":0.014,""rounds"":5}",
      1024,        78,         0,   0.157,fusion_blossom,1b4da038772700d217efb5a87043dbf130241193f22ff17cbca6bf2f958b0cf2,"{""d"":5,""p"":0.01,""rounds"":5}",
      1024,       126,         0,   0.219,fusion_blossom,277a58e233e862a3be262f22c5b7a5a21a07b7eaf82f6f585b51f45fc3e938b2,"{""d"":5,""p"":0.012,""rounds"":5}",
      6144,        42,         0,   0.342,fusion_blossom,e48ed67c2979de4d26a9fc9536081ea554d0aab4d424661f34f12c13fd45c431,"{""d"":5,""p"":0.004,""rounds"":5}",
      1024,         5,         0,   0.283,fusion_blossom,47e91f1dfbf6adbb3c46efd5d2de6f4c42a3dcf206f4703dce03013c9b309afd,"{""d"":7,""p"":0.004,""rounds"":7}",
     34816,       148,         0,   0.292,pymatching,aa65a1c74547e8dbb0219373d6f96343f56b7fe3b027d6d14305afa44c890a6e,"{""d"":7,""p"":0.004,""rounds"":7}",
      1024,        74,         0,   0.172,fusion_blossom,1b4da038772700d217efb5a87043dbf130241193f22ff17cbca6bf2f958b0cf2,"{""d"":5,""p"":0.01,""rounds"":5}",
      2048,       100,         0,   0.235,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
      1024,       178,         0,   0.267,fusion_blossom,92c46607b3fb09a418264f46cff2e36b2e91a14de9e5717d2e61af13a8535335,"{""d"":5,""p"":0.014,""rounds"":5}",
      1024,       137,         0,   0.204,fusion_blossom,277a58e233e862a3be262f22c5b7a5a21a07b7eaf82f6f585b51f45fc3e938b2,"{""d"":5,""p"":0.012,""rounds"":5}",
      4096,        87,         0,   0.357,fusion_blossom,7d0121e0c425ed097122e511761d285c0bc4239c3a958797053f041ddfa0d843,"{""d"":5,""p"":0.006,""rounds"":5}",
      1024,        92,         0,   0.165,fusion_blossom,1b4da038772700d217efb5a87043dbf130241193f22ff17cbca6bf2f958b0cf2,"{""d"":5,""p"":0.01,""rounds"":5}",
      1024,         5,         0,   0.268,fusion_blossom,47e91f1dfbf6adbb3c46efd5d2de6f4c42a3dcf206f4703dce03013c9b309afd,"{""d"":7,""p"":0.004,""rounds"":7}",
      7168,        49,         0,   0.409,fusion_blossom,e48ed67c2979de4d26a9fc9536081ea554d0aab4d424661f34f12c13fd45c431,"{""d"":5,""p"":0.004,""rounds"":5}",
      1024,       114,         0,   0.226,fusion_blossom,277a58e233e862a3be262f22c5b7a5a21a07b7eaf82f6f585b51f45fc3e938b2,"{""d"":5,""p"":0.012,""rounds"":5}",
      1024,       185,         0,   0.278,fusion_blossom,92c46607b3fb09a418264f46cff2e36b2e91a14de9e5717d2e61af13a8535335,"{""d"":5,""p"":0.014,""rounds"":5}",
      3072,       152,         0,   0.376,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
     50176,       236,         0,   0.404,pymatching,aa65a1c74547e8dbb0219373d6f96343f56b7fe3b027d6d14305afa44c890a6e,"{""d"":7,""p"":0.004,""rounds"":7}",
      1024,         4,         0,   0.254,fusion_blossom,47e91f1dfbf6adbb3c46efd5d2de6f4c42a3dcf206f4703dce03013c9b309afd,"{""d"":7,""p"":0.004,""rounds"":7}",
      2048,       172,         0,   0.355,fusion_blossom,1b4da038772700d217efb5a87043dbf130241193f22ff17cbca6bf2f958b0cf2,"{""d"":5,""p"":0.01,""rounds"":5}",
      1024,       132,         0,   0.250,fusion_blossom,277a58e233e862a3be262f22c5b7a5a21a07b7eaf82f6f585b51f45fc3e938b2,"{""d"":5,""p"":0.012,""rounds"":5}",
      5120,       119,         0,   0.460,fusion_blossom,7d0121e0c425ed097122e511761d285c0bc4239c3a958797053f041ddfa0d843,"{""d"":5,""p"":0.006,""rounds"":5}",
      1297,        27,         0,   0.015,pymatching,dd32fdff6326ac61b0d6e2520b1ca68cbe08d1b50ce844c8ef2d3407ef8d5a04,"{""d"":7,""p"":0.006,""rounds"":7}",
      1024,       173,         0,   0.284,fusion_blossom,92c46607b3fb09a418264f46cff2e36b2e91a14de9e5717d2e61af13a8535335,"{""d"":5,""p"":0.014,""rounds"":5}",
      1024,        20,         0,   0.014,pymatching,dd32fdff6326ac61b0d6e2520b1ca68cbe08d1b50ce844c8ef2d3407ef8d5a04,"{""d"":7,""p"":0.006,""rounds"":7}",
      2048,        37,         0,   0.020,pymatching,dd32fdff6326ac61b0d6e2520b1ca68cbe08d1b50ce844c8ef2d3407ef8d5a04,"{""d"":7,""p"":0.006,""rounds"":7}",
      3072,        66,         0,   0.038,pymatching,dd32fdff6326ac61b0d6e2520b1ca68cbe08d1b50ce844c8ef2d3407ef8d5a04,"{""d"":7,""p"":0.006,""rounds"":7}",
      4096,        85,         0,   0.049,pymatching,dd32fdff6326ac61b0d6e2520b1ca68cbe08d1b50ce844c8ef2d3407ef8d5a04,"{""d"":7,""p"":0.006,""rounds"":7}",
      1024,         7,         0,   0.258,fusion_blossom,47e91f1dfbf6adbb3c46efd5d2de6f4c42a3dcf206f4703dce03013c9b309afd,"{""d"":7,""p"":0.004,""rounds"":7}",
      5120,        99,         0,   0.061,pymatching,dd32fdff6326ac61b0d6e2520b1ca68cbe08d1b50ce844c8ef2d3407ef8d5a04,"{""d"":7,""p"":0.006,""rounds"":7}",
     53248,       229,         0,   0.408,pymatching,aa65a1c74547e8dbb0219373d6f96343f56b7fe3b027d6d14305afa44c890a6e,"{""d"":7,""p"":0.004,""rounds"":7}",
      2048,       174,         0,   0.315,fusion_blossom,1b4da038772700d217efb5a87043dbf130241193f22ff17cbca6bf2f958b0cf2,"{""d"":5,""p"":0.01,""rounds"":5}",
       273,         5,         0,   0.143,fusion_blossom,00044384dc799b7993db37713f62887b6aeca239e88a3679bb146cba1261838e,"{""d"":7,""p"":0.006,""rounds"":7}",
